id,ahs_code,component_type,component_id,quantity,coefficient
1,3.6.4.1,labor,1,0.1667,
2,3.6.4.1,labor,2,0.0833,
3,3.6.4.1,labor,3,0.0083,
4,3.6.4.1,labor,4,0.0028,
5,3.6.4.1,material,1,8.75,
6,3.6.4.1,material,2,3.429,
7,3.6.4.1.A,labor,1,0.1667,
8,3.6.4.1.A,labor,2,0.0833,
9,3.6.4.1.A,labor,3,0.0083,
10,3.6.4.1.A,labor,4,0.0028,
11,3.6.4.1.A,material,3,8.75,
12,3.6.4.1.A,material,2,3.429,
13,3.6.4.1.B,labor,1,0.1667,
14,3.6.4.1.B,labor,2,0.0833,
15,3.6.4.1.B,labor,3,0.0083,
16,3.6.4.1.B,labor,4,0.0028,
17,3.6.4.1.B,material,4,8.75,
18,3.6.4.1.B,material,2,3.429,
19,3.6.4.1.C,labor,1,0.1667,
20,3.6.4.1.C,labor,2,0.0833,
21,3.6.4.1.C,labor,3,0.0083,
22,3.6.4.1.C,labor,4,0.0028,
23,3.6.4.1.C,material,5,8.75,
24,3.6.4.1.C,material,2,3.429,
25,3.6.4.1.D,labor,1,0.1667,
26,3.6.4.1.D,labor,2,0.0833,
27,3.6.4.1.D,labor,3,0.0083,
28,3.6.4.1.D,labor,4,0.0028,
29,3.6.4.1.D,material,6,8.75,
30,3.6.4.1.D,material,2,3.429,
31,3.6.4.2,labor,1,0.1667,
32,3.6.4.2,labor,2,0.0833,
33,3.6.4.2,labor,3,0.0083,
34,3.6.4.2,labor,4,0.0028,
35,3.6.4.2,material,7,8.75,
36,3.6.4.2,material,2,3.429,
37,3.6.4.2A,labor,1,0.1667,
38,3.6.4.2A,labor,2,0.0833,
39,3.6.4.2A,labor,3,0.0083,
40,3.6.4.2A,labor,4,0.0028,
41,3.6.4.2A,material,8,8.75,
42,3.6.4.2A,material,2,3.429,
43,3.6.4.2B,labor,1,0.1667,
44,3.6.4.2B,labor,2,0.0833,
45,3.6.4.2B,labor,3,0.0083,
46,3.6.4.2B,labor,4,0.0028,
47,3.6.4.2B,material,9,8.75,
48,3.6.4.2B,material,2,3.429,
49,3.6.4.2C,labor,1,0.1667,
50,3.6.4.2C,labor,2,0.0833,
51,3.6.4.2C,labor,3,0.0083,
52,3.6.4.2C,labor,4,0.0028,
53,3.6.4.2C,material,10,8.75,
54,3.6.4.2C,material,2,3.429,
55,3.6.4.2D,labor,1,0.1667,
56,3.6.4.2D,labor,2,0.0833,
57,3.6.4.2D,labor,3,0.0083,
58,3.6.4.2D,labor,4,0.0028,
59,3.6.4.2D,material,11,8.75,
60,3.6.4.2D,material,2,3.429,
61,1.1.1.1,labor,1,0.6,
62,1.1.1.1,labor,2,0.2,
63,1.1.1.1,labor,2,0.2,
64,1.1.1.1,labor,3,0.04,
65,1.1.1.1,labor,4,0.013,
66,1.1.1.1,material,12,0.0387,
67,1.1.1.1,material,13,0.0396,
68,1.1.1.1,material,14,0.5872,
69,1.1.1.1,material,15,26.406,
70,1.1.1.1,material,16,61.56,
71,1.1.1.1,material,17,83.349,
72,1.1.1.1,material,18,17.415,
73,1.1.1.1,material,19,0.4,
74,1.1.1.2,labor,1,0.25,
75,1.1.1.2,labor,2,0.125,
76,1.1.1.2,labor,2,0.125,
77,1.1.1.2,labor,3,0.025,
78,1.1.1.2,labor,4,0.008,
79,1.1.1.2,material,12,0.031,
80,1.1.1.2,material,20,1.3125,
81,1.1.1.2,material,14,0.4271,
82,1.1.1.2,material,15,26.406,
83,1.1.1.2,material,16,61.56,
84,1.1.1.2,material,17,83.349,
85,1.1.1.2,material,18,17.415,
86,1.1.1.3,labor,1,0.308,
87,1.1.1.3,labor,2,0.154,
88,1.1.1.3,labor,2,0.154,
89,1.1.1.3,labor,3,0.031,
90,1.1.1.3,labor,4,0.01,
91,1.1.1.3,material,12,0.0139,
92,1.1.1.3,material,21,20.4457,
93,1.1.1.3,material,14,0.4715,
94,1.1.1.3,material,15,26.406,
95,1.1.1.3,material,16,61.56,
96,1.1.1.3,material,17,83.349,
97,1.1.1.3,material,18,17.415,
98,1.1.1.4,labor,1,0.2,
99,1.1.1.4,labor,2,0.1,
100,1.1.1.4,labor,2,0.1,
101,1.1.1.4,labor,4,0.02,
102,1.1.1.4,material,22,1.2,
103,1.1.1.4,material,23,13.5,
104,1.1.1.4,material,24,0.3,
105,1.1.1.4,material,25,0.15,
106,1.1.1.5,labor,1,0.042,
107,1.1.1.5,labor,2,0.04,
108,1.1.1.5,labor,3,0.004,
109,1.1.1.5,labor,4,0.001,
110,1.1.1.5,material,26,0.01649,
111,1.1.1.6,labor,1,0.375,
112,1.1.1.6,labor,2,0.125,
113,1.1.1.6,labor,3,0.0012,
114,1.1.1.6,labor,4,0.019,
115,1.1.1.6,material,27,0.986,
116,1.1.1.6,material,28,0.525,
117,1.1.1.6,material,15,45.0,
118,1.1.1.6,material,16,0.074,
119,1.1.1.6,material,17,0.146,
120,1.1.2.1,labor,1,1.0,
121,1.1.2.1,labor,2,1.0,
122,1.1.2.1,labor,3,0.1,
123,1.1.2.1,labor,5,1.5,
124,1.1.2.1,labor,4,0.1,
125,1.1.2.1,material,29,0.35,
126,1.1.2.1,material,30,0.077,
127,1.1.2.1,material,31,5.8,
128,1.1.2.1,material,32,1.25,
129,1.1.2.1,material,33,2.5,
130,1.1.2.2,labor,1,0.75,
131,1.1.2.2,labor,2,0.75,
132,1.1.2.2,labor,3,0.1,
133,1.1.2.2,labor,4,0.075,
134,1.1.2.2,material,34,0.18,
135,1.1.2.2,material,35,0.021,
136,1.1.2.2,material,36,0.1,
137,1.1.2.2,material,37,0.48,
138,1.1.2.2,material,32,1.25,
139,1.1.2.2,material,33,1.5,
140,1.1.2.3,labor,1,2.0,
141,1.1.2.3,labor,2,2.0,
142,1.1.2.3,labor,2,1.0,
143,1.1.2.3,labor,3,0.3,
144,1.1.2.3,labor,4,0.1,
145,1.1.2.3,material,38,1.25,
146,1.1.2.3,material,39,0.18,
147,1.1.2.3,material,14,0.08,
148,1.1.2.3,material,40,1.1,
149,1.1.2.3,material,15,35.0,
150,1.1.2.3,material,41,0.15,
151,1.1.2.3,material,16,0.1,
152,1.1.2.3,material,42,0.15,
153,1.1.2.3,material,43,30.0,
154,1.1.2.3,material,44,0.25,
155,1.1.2.3,material,45,0.2,
156,1.1.2.3,material,46,0.08,
157,1.1.2.3,material,47,0.15,
158,1.1.2.3,material,48,0.06,
159,1.1.2.4,labor,1,1.2,
160,1.1.2.4,labor,2,0.4,
161,1.1.2.4,labor,3,0.04,
162,1.1.2.4,labor,4,0.12,
163,1.1.2.4,material,49,0.35,
164,1.1.2.4,material,50,1.0,
165,1.1.2.4,material,51,0.17,
166,1.1.2.4,material,52,1.24,
167,1.1.2.4,material,53,0.75,
168,1.1.2.4,material,54,0.3,
169,1.1.2.4,material,55,0.1,
170,1.1.2.4,material,56,0.15,
171,1.1.2.4,material,57,0.1,
172,1.1.2.4,material,58,1.0,
173,1.1.2.4,material,59,16.5,
174,1.1.2.5,labor,1,2.0296,
175,1.1.2.5,labor,4,0.1309,
176,1.1.2.5,material,60,1.0594,
177,1.1.2.5,material,61,0.3311,
178,1.1.2.5,material,62,0.1854,
179,1.1.2.5,material,63,80.0,
180,1.1.2.5,equipment,1,0.0071,
181,1.1.2.5,equipment,2,0.3189,
182,1.1.2.5,equipment,3,0.3202,
183,1.1.2.5,equipment,4,0.3237,
184,1.1.2.5,equipment,5,0.0655,
185,1.1.2.5,equipment,6,0.0157,
186,1.1.3.1,labor,1,0.1,
187,1.1.3.1,labor,4,0.005,
188,1.1.3.2,labor,1,0.03,
189,1.1.3.2,labor,4,0.003,
190,1.1.3.3,labor,1,0.05,
191,1.1.3.3,labor,4,0.005,
192,1.1.3.4,labor,1,0.08,
193,1.1.3.4,labor,4,0.008,
194,1.1.3.4,equipment,7,0.0357,
195,1.1.3.5,labor,1,0.012,
196,1.1.3.5,labor,4,0.0012,
197,1.1.3.5,equipment,7,0.0625,
198,1.1.3.6,labor,1,0.17,
199,1.1.3.6,labor,4,0.017,
200,1.1.3.6,equipment,8,0.08,
201,1.1.3.7,labor,1,0.25,
202,1.1.3.7,labor,4,0.025,
203,1.1.3.7,equipment,8,0.09,
204,1.1.3.8,labor,1,0.1429,
205,1.1.3.8,labor,4,0.0143,
206,1.1.3.8,equipment,7,0.09,
207,1.1.3.9,labor,1,0.1675,
208,1.1.3.9,labor,4,0.0168,
209,1.1.3.9,equipment,7,0.14,
210,1.1.3.10,labor,1,0.1825,
211,1.1.3.10,labor,4,0.0182,
212,1.1.3.10,equipment,7,0.22,
213,1.1.3.11,labor,1,0.2613,
214,1.1.3.11,labor,4,0.0261,
215,1.1.3.11,equipment,7,0.35,
216,1.1.3.12,labor,1,0.3433,
217,1.1.3.12,labor,4,0.0343,
218,1.1.3.12,equipment,7,0.524,
219,1.1.3.13,labor,1,0.1507,
220,1.1.3.13,labor,4,0.0151,
221,1.1.3.13,equipment,7,0.09,
222,1.1.3.14,labor,1,0.2495,
223,1.1.3.14,labor,4,0.025,
224,1.1.3.14,equipment,7,0.14,
225,1.1.3.15,labor,1,0.3083,
226,1.1.3.15,labor,4,0.0308,
227,1.1.3.15,equipment,7,0.22,
228,1.1.3.16,labor,1,0.4713,
229,1.1.3.16,labor,4,0.0471,
230,1.1.3.16,equipment,7,0.35,
231,1.1.3.17,labor,1,0.75,
232,1.1.3.17,labor,4,0.075,
233,1.1.3.17,equipment,7,0.524,
234,1.1.4.1,labor,1,0.125,
235,1.1.4.1,labor,6,0.25,
236,1.1.4.1,labor,7,0.25,
237,1.1.4.1,labor,8,2.0,
238,1.1.4.1,labor,9,2.0,
239,1.1.4.1,material,12,0.151,
240,1.1.4.1,material,64,0.508,
241,1.1.4.1,equipment,9,1.0,
242,1.1.4.1,equipment,10,1.0,
243,1.1.4.2,labor,1,0.012,
244,1.1.4.2,labor,2,0.006,
245,1.1.4.2,labor,3,0.0006,
246,1.1.4.2,labor,4,0.0012,
247,1.1.4.2,material,49,0.013,
248,1.1.4.2,material,65,0.007,
249,1.1.4.2,material,66,0.02,
250,1.1.4.2,equipment,9,0.006,
251,1.1.4.3,labor,1,0.008,
252,1.1.4.3,labor,2,0.004,
253,1.1.4.3,labor,3,0.0004,
254,1.1.4.3,labor,4,0.0008,
255,1.1.4.3,material,12,0.013,
256,1.1.4.3,material,64,1.1,
257,1.1.4.3,equipment,9,0.004,
258,1.1.4.4,labor,1,0.012,
259,1.1.4.4,labor,2,0.006,
260,1.1.4.4,labor,3,0.0006,
261,1.1.4.4,labor,4,0.0012,
262,1.1.4.4,material,12,0.0035,
263,1.1.4.4,material,64,1.1,
264,1.1.4.4,equipment,9,0.006,
265,1.1.4.5,material,67,1.05,
266,1.1.4.5,material,68,1.05,
267,1.1.4.6,material,67,0.0035,
268,1.1.4.6,material,69,1.1,
269,1.2.1.1.1,labor,1,0.75,
270,1.2.1.1.1,labor,4,0.038,
271,1.2.1.1.2,labor,1,0.563,
272,1.2.1.1.2,labor,4,0.0563,
273,1.2.1.1.3,labor,1,0.4,
274,1.2.1.1.3,labor,4,0.04,
275,1.2.1.1.4,labor,1,0.9,
276,1.2.1.1.4,labor,4,0.045,
277,1.2.1.1.5,labor,1,0.675,
278,1.2.1.1.5,labor,4,0.0675,
279,1.2.1.1.6,labor,1,1.05,
280,1.2.1.1.6,labor,4,0.067,
281,1.2.1.1.7,labor,1,0.76,
282,1.2.1.1.7,labor,4,0.076,
283,1.2.1.1.8,labor,1,0.075,
284,1.2.1.1.8,labor,4,0.0075,
285,1.2.1.2.1,labor,1,0.135,
286,1.2.1.2.1,labor,4,0.0135,
287,1.2.1.2.1,equipment,11,0.045,
288,1.2.1.2.2,labor,1,0.188,
289,1.2.1.2.2,labor,4,0.0188,
290,1.2.1.2.2,equipment,11,0.047,
291,1.2.1.2.3,labor,1,0.25,
292,1.2.1.2.3,labor,4,0.025,
293,1.2.1.2.3,equipment,11,0.05,
294,1.2.1.2.4,labor,1,0.075,
295,1.2.1.2.4,labor,4,0.0075,
296,1.2.1.2.4,equipment,11,0.003,
297,1.2.2.1.1,labor,1,0.66,
298,1.2.2.1.1,labor,4,0.066,
299,1.2.2.1.2,labor,1,0.8,
300,1.2.2.1.2,labor,4,0.008,
301,1.2.2.1.3,labor,1,0.92,
302,1.2.2.1.3,labor,4,0.092,
303,1.2.2.1.4,labor,1,0.1,
304,1.2.2.1.4,labor,4,0.01,
305,1.2.2.2.1,labor,1,0.25,
306,1.2.2.2.1,labor,4,0.025,
307,1.2.2.2.1,equipment,12,0.04,
308,1.2.2.2.2,labor,1,0.265,
309,1.2.2.2.2,labor,4,0.0265,
310,1.2.2.2.2,equipment,12,0.055,
311,1.2.2.2.3,labor,1,0.28,
312,1.2.2.2.3,labor,4,0.028,
313,1.2.2.2.3,equipment,12,0.072,
314,1.2.2.2.4,labor,1,0.015,
315,1.2.2.2.4,labor,4,0.0015,
316,1.2.2.2.4,equipment,12,0.022,
317,1.2.3.1.1,labor,1,1.351,
318,1.2.3.1.1,labor,4,0.01351,
319,1.2.3.1.2,labor,1,1.5,
320,1.2.3.1.2,labor,4,0.15,
321,1.2.3.1.3,labor,1,1.65,
322,1.2.3.1.3,labor,4,0.165,
323,1.2.3.1.4,labor,1,0.14,
324,1.2.3.1.4,labor,4,0.014,
325,1.2.3.2.1,labor,1,0.3024,
326,1.2.3.2.1,labor,4,0.0302,
327,1.2.3.2.1,equipment,11,0.0756,
328,1.2.3.2.2,labor,1,0.395,
329,1.2.3.2.2,labor,4,0.0395,
330,1.2.3.2.2,equipment,11,0.079,
331,1.2.3.2.3,labor,1,0.504,
332,1.2.3.2.3,labor,4,0.0504,
333,1.2.3.2.3,equipment,11,0.084,
334,1.2.3.2.4,labor,1,0.14,
335,1.2.3.2.4,labor,4,0.014,
336,1.2.3.2.4,equipment,11,0.005,
337,1.2.4.1.1,labor,1,1.5,
338,1.2.4.1.1,labor,4,0.075,
339,1.2.4.1.2,labor,1,1.25,
340,1.2.4.1.2,labor,4,0.0125,
341,1.2.4.1.3,labor,1,1.5,
342,1.2.4.1.3,labor,4,0.06,
343,1.2.4.1.4,labor,1,1.392,
344,1.2.4.1.4,labor,4,0.1392,
345,1.2.4.1.5,labor,1,1.5,
346,1.2.4.1.5,labor,4,0.15,
347,1.2.4.1.6,labor,1,0.1,
348,1.2.4.1.6,labor,4,0.01,
349,1.2.4.2.1,labor,1,0.2268,
350,1.2.4.2.1,labor,4,0.0227,
351,1.2.4.2.1,equipment,11,0.063,
352,1.2.4.2.2,labor,1,0.3027,
353,1.2.4.2.2,labor,4,0.0303,
354,1.2.4.2.2,equipment,11,0.0658,
355,1.2.4.2.3,labor,1,0.392,
356,1.2.4.2.3,labor,4,0.0392,
357,1.2.4.2.3,equipment,11,0.07,
358,1.2.4.2.4,labor,1,0.1,
359,1.2.4.2.4,labor,4,0.01,
360,1.2.4.2.4,equipment,11,0.004,
361,1.2.5.1.1,labor,1,1.2,
362,1.2.5.1.1,labor,4,0.06,
363,1.2.5.1.2,labor,1,0.83,
364,1.2.5.1.2,labor,4,0.083,
365,1.2.5.1.3,labor,1,1.44,
366,1.2.5.1.3,labor,4,0.072,
367,1.2.5.1.4,labor,1,1.0,
368,1.2.5.1.4,labor,4,0.1,
369,1.2.5.1.5,labor,1,1.15,
370,1.2.5.1.5,labor,4,0.115,
371,1.2.5.1.6,labor,1,0.15,
372,1.2.5.1.6,labor,4,0.015,
373,1.2.5.2.1,labor,1,0.24,
374,1.2.5.2.1,labor,4,0.024,
375,1.2.5.2.1,equipment,13,0.025,
376,1.2.5.2.2,labor,1,0.27,
377,1.2.5.2.2,labor,4,0.027,
378,1.2.5.2.2,equipment,13,0.1,
379,1.2.5.2.3,labor,1,0.295,
380,1.2.5.2.3,labor,4,0.0295,
381,1.2.5.2.3,equipment,13,0.045,
382,1.2.5.2.4,labor,1,0.02,
383,1.2.5.2.4,labor,4,0.002,
384,1.2.5.2.4,equipment,13,0.01,
385,1.3.1.1,labor,1,0.5,
386,1.3.1.1,labor,4,0.025,
387,1.3.1.2,labor,1,0.3,
388,1.3.1.2,labor,4,0.015,
389,1.3.1.2,material,70,1.2,
390,1.3.1.3,labor,1,0.065,
391,1.3.1.3,labor,4,0.0065,
392,1.3.1.3,material,70,1.2,
393,1.3.1.4,labor,1,0.1,
394,1.3.1.4,labor,4,0.01,
395,1.3.1.4,material,71,1.4,
396,1.3.1.5,labor,1,0.125,
397,1.3.1.5,labor,4,0.0125,
398,1.3.1.5,material,72,1.4,
399,1.3.1.6,labor,1,0.3,
400,1.3.1.6,labor,4,0.015,
401,1.3.1.6,material,17,1.4,
402,1.3.1.7,labor,1,0.3,
403,1.3.1.7,labor,4,0.015,
404,1.3.1.7,material,73,1.0,
405,1.3.2.1,labor,1,0.5,
406,1.3.2.1,labor,4,0.025,
407,1.3.2.2,labor,1,0.25,
408,1.3.2.2,labor,4,0.013,
409,1.3.2.2,material,74,1.2,
410,1.3.3.1,equipment,14,0.077,
411,1.3.3.2,equipment,15,0.0574,
412,1.3.3.3,equipment,16,0.0183,
413,1.3.3.4,equipment,17,0.0089,
414,1.3.3.5,labor,1,0.3,
415,1.3.3.5,labor,4,0.015,
416,1.3.3.5,material,17,1.13,
417,1.3.3.5,equipment,17,0.0574,
418,1.3.3.6,labor,1,0.4,
419,1.3.3.6,labor,4,0.02,
420,1.3.3.6,material,75,1.13,
421,1.3.3.6,equipment,15,0.0574,
422,1.4.1.1,labor,1,0.2104,
423,1.4.1.1,labor,4,0.0105,
424,1.4.1.2,labor,1,0.2254,
425,1.4.1.2,labor,4,0.0112,
426,1.4.1.3,labor,1,0.2363,
427,1.4.1.3,labor,4,0.018,
428,1.4.1.4,labor,1,0.2505,
429,1.4.1.4,labor,4,0.0125,
430,1.4.1.5,labor,1,0.2722,
431,1.4.1.5,labor,4,0.0136,
432,1.4.1.6,labor,1,0.344,
433,1.4.1.6,labor,4,0.0172,
434,1.4.1.7,labor,1,0.4843,
435,1.4.1.7,labor,4,0.0242,
436,1.4.1.8,labor,1,0.6513,
437,1.4.1.8,labor,4,0.0325,
438,1.4.1.9,labor,1,0.8475,
439,1.4.1.9,labor,4,0.0423,
440,1.4.1.10,labor,1,1.0938,
441,1.4.1.10,labor,4,0.0546,
442,1.4.1.11,labor,1,1.3777,
443,1.4.1.11,labor,4,0.0688,
444,1.4.1.12,labor,1,0.275,
445,1.4.1.12,labor,4,0.0137,
446,1.4.2.1,labor,1,0.9103,
447,1.4.2.1,labor,4,0.0455,
448,1.4.2.1,equipment,18,0.4552,
449,1.4.2.2,labor,1,1.004,
450,1.4.2.2,labor,4,0.0502,
451,1.4.2.2,equipment,18,0.502,
452,1.4.2.3,labor,1,1.0977,
453,1.4.2.3,labor,4,0.0549,
454,1.4.2.3,equipment,18,0.5489,
455,1.4.2.4,labor,1,1.1914,
456,1.4.2.4,labor,4,0.0596,
457,1.4.2.4,equipment,18,0.5957,
458,1.4.2.5,labor,1,1.2851,
459,1.4.2.5,labor,4,0.0643,
460,1.4.2.5,equipment,18,0.06426,
461,1.5.1,labor,1,0.0119,
462,1.5.1,labor,2,0.0024,
463,1.5.1,labor,4,0.0012,
464,1.5.1,material,76,1.1,
465,1.5.1,equipment,19,0.00238,
466,1.5.2,labor,1,0.0016,
467,1.5.2,labor,2,0.0008,
468,1.5.2,labor,4,0.0002,
469,1.5.2,material,76,1.1,
470,1.5.2,equipment,19,0.0008,
471,1.5.2,equipment,20,0.00015,
472,1.5.3,labor,1,0.016,
473,1.5.3,labor,2,0.0032,
474,1.5.3,labor,4,0.0016,
475,1.5.3,material,77,1.2,
476,1.5.3,equipment,19,0.0032,
477,1.5.4,labor,1,0.0024,
478,1.5.4,labor,2,0.0012,
479,1.5.4,labor,4,0.0002,
480,1.5.4,material,77,1.2,
481,1.5.4,equipment,19,0.0012,
482,1.5.4,equipment,20,0.000147,
483,1.5.5,labor,1,0.025,
484,1.5.5,labor,2,0.005,
485,1.5.5,labor,4,0.0025,
486,1.5.5,material,78,1.3,
487,1.5.5,equipment,19,0.005,
488,1.5.6,labor,1,0.0036,
489,1.5.6,labor,2,0.0018,
490,1.5.6,labor,4,0.0004,
491,1.5.6,material,78,1.3,
492,1.5.6,equipment,19,0.0018,
493,1.5.6,equipment,20,0.000146,
494,1.5.7,labor,1,0.00476,
495,1.5.7,labor,2,0.00238,
496,1.5.7,labor,3,0.00024,
497,1.5.7,labor,4,8e-05,
498,1.5.7,material,79,1.1,
499,1.5.7,equipment,19,0.002381,
500,1.5.7,equipment,20,0.000143,
501,1.5.7,equipment,21,0.002381,
502,1.5.8,labor,1,0.00842,
503,1.5.8,labor,2,0.00211,
504,1.5.8,labor,2,0.00211,
505,1.5.8,labor,3,0.00042,
506,1.5.8,labor,4,0.00014,
507,1.5.8,material,80,1.3,
508,1.5.8,material,81,0.0331,
509,1.5.8,material,82,21.0,
510,1.5.8,equipment,20,0.00015,
511,1.6.1,labor,1,1.2,
512,1.6.1,labor,4,0.06,
513,1.6.1,equipment,22,0.006,
514,1.6.1,equipment,23,0.009,
515,1.6.1,equipment,24,0.02,
516,1.6.2,labor,1,0.2,
517,1.6.2,labor,2,0.01,
518,1.6.2,equipment,11,0.05,
519,1.6.3,labor,1,1.075,
520,1.6.3,labor,4,0.108,
521,1.6.3,material,83,1.2,
522,1.6.3,equipment,22,0.02,
523,1.6.3,equipment,25,0.1,
524,1.6.3,equipment,23,0.03,
525,1.6.3,equipment,24,0.05,
526,1.6.4,labor,1,3.6,
527,1.6.4,labor,4,0.18,
528,1.6.4,material,83,1.2,
529,1.6.4,equipment,22,0.02,
530,1.6.4,equipment,25,0.1,
531,1.6.4,equipment,23,0.03,
532,1.6.4,equipment,24,0.05,
533,1.6.5,labor,1,0.2,
534,1.6.5,labor,4,0.02,
535,1.6.5,equipment,11,0.05,
536,1.6.6,labor,1,0.4,
537,1.6.6,labor,4,0.02,
538,1.6.6,equipment,11,0.05,
539,1.6.7,labor,1,0.3,
540,1.6.7,labor,4,0.03,
541,1.6.7,equipment,22,0.002,
542,1.6.7,equipment,23,0.003,
543,1.6.7,equipment,24,0.007,
544,1.6.8,labor,1,0.15,
545,1.6.8,labor,4,0.015,
546,1.6.8,equipment,26,0.015,
547,1.6.9,labor,10,0.089,
548,1.6.9,labor,11,0.022,
549,1.6.9,labor,12,0.002,
550,1.6.9,labor,13,0.001,
551,1.6.10,labor,10,11.9206,
552,1.6.10,labor,11,1.98677,
553,1.6.10,labor,12,0.19868,
554,1.6.10,labor,13,0.06623,
555,1.6.10,equipment,27,0.5593,
556,1.6.10,equipment,21,0.5593,
557,1.6.11,labor,10,10.72854,
558,1.6.11,labor,11,1.78809,
559,1.6.11,labor,12,0.17881,
560,1.6.11,labor,13,0.0596,
561,1.6.11,equipment,27,0.5593,
562,1.6.11,equipment,21,0.5593,
563,1.6.12,labor,10,0.1,
564,1.6.12,labor,11,0.03333,
565,1.6.12,labor,12,0.00333,
566,1.6.12,labor,13,0.00111,
567,1.6.13,labor,10,0.2,
568,1.6.13,labor,11,0.06667,
569,1.6.13,labor,12,0.00667,
570,1.6.13,labor,13,0.00222,
571,2.1.1.1,labor,1,0.734,
572,2.1.1.1,labor,2,0.734,
573,2.1.1.1,labor,3,0.073,
574,2.1.1.1,labor,4,0.024,
575,2.1.1.1,material,84,0.9603,
576,2.1.1.2,labor,1,0.7604,
577,2.1.1.2,labor,2,0.7604,
578,2.1.1.2,labor,3,0.076,
579,2.1.1.2,labor,4,0.0253,
580,2.1.1.2,material,84,0.9603,
581,2.1.1.3,labor,1,0.0476,
582,2.1.1.3,labor,2,0.0238,
583,2.1.1.3,labor,3,0.0024,
584,2.1.1.3,labor,4,0.0008,
585,2.1.1.3,material,85,1.05,
586,2.1.1.3,material,86,2.0,
587,2.1.1.4,labor,1,0.0111,
588,2.1.1.4,labor,2,0.0111,
589,2.1.1.4,labor,3,0.0011,
590,2.1.1.4,labor,4,0.0004,
591,2.1.1.4,material,87,1.05,
592,2.1.1.4,material,86,4.0,
593,2.1.2.1,labor,1,4.0,
594,2.1.2.1,labor,2,12.0,
595,2.1.2.1,labor,3,1.2,
596,2.1.2.1,labor,4,0.4,
597,2.1.2.1,material,88,1.1,
598,2.1.2.1,material,89,15.0,
599,2.1.2.1,material,90,5.6,
600,2.1.2.2,labor,1,6.7,
601,2.1.2.2,labor,2,20.1,
602,2.1.2.2,labor,3,2.01,
603,2.1.2.2,labor,4,0.67,
604,2.1.2.2,material,91,1.2,
605,2.1.2.2,material,89,15.0,
606,2.1.2.2,material,90,5.6,
607,2.1.2.3,labor,1,2.4,
608,2.1.2.3,labor,2,7.2,
609,2.1.2.3,labor,3,0.72,
610,2.1.2.3,labor,4,0.24,
611,2.1.2.3,material,88,1.1,
612,2.1.2.3,material,89,15.0,
613,2.1.2.3,material,90,3.0,
614,2.1.2.4,labor,1,0.1,
615,2.1.2.4,labor,2,0.1,
616,2.1.2.4,labor,3,0.01,
617,2.1.2.4,labor,4,0.0033,
618,2.1.2.4,material,12,0.014,
619,2.1.2.4,material,92,0.0036,
620,2.1.2.4,material,93,0.25,
621,2.1.2.5,labor,1,0.1,
622,2.1.2.5,labor,2,0.1,
623,2.1.2.5,labor,3,0.01,
624,2.1.2.5,labor,4,0.0033,
625,2.1.2.5,material,12,0.014,
626,2.1.2.5,material,94,0.0057,
627,2.1.2.5,material,93,0.25,
628,2.1.2.6,labor,1,0.12,
629,2.1.2.6,labor,2,0.12,
630,2.1.2.6,labor,3,0.012,
631,2.1.2.6,labor,4,0.004,
632,2.1.2.6,material,95,0.165,
633,2.1.2.6,material,96,0.2,
634,2.2.1.1.1,labor,10,0.007,
635,2.2.1.1.1,labor,14,0.007,
636,2.2.1.1.1,labor,12,0.0007,
637,2.2.1.1.1,labor,13,0.0007,
638,2.2.1.1.1,material,97,1.02,
639,2.2.1.1.1,material,98,0.015,
640,2.2.1.1.1a,labor,10,0.007,
641,2.2.1.1.1a,labor,14,0.007,
642,2.2.1.1.1a,labor,12,0.0007,
643,2.2.1.1.1a,labor,13,0.0007,
644,2.2.1.1.1a,material,99,1.02,
645,2.2.1.1.1a,material,98,0.015,
646,2.2.1.1.2,labor,10,0.0008,
647,2.2.1.1.2,labor,14,0.0004,
648,2.2.1.1.2,labor,12,4e-05,
649,2.2.1.1.2,labor,13,8e-05,
650,2.2.1.1.2,material,100,1.02,
651,2.2.1.1.2,material,98,0.015,
652,2.2.1.1.2,equipment,28,0.0002,
653,2.2.1.1.2,equipment,29,0.0002,
654,2.2.1.1.2a,labor,10,0.0008,
655,2.2.1.1.2a,labor,13,0.0004,
656,2.2.1.1.2a,labor,12,4e-05,
657,2.2.1.1.2a,labor,13,8e-05,
658,2.2.1.1.2a,material,101,1.02,
659,2.2.1.1.2a,material,98,0.015,
660,2.2.1.1.2a,equipment,28,0.0002,
661,2.2.1.1.2a,equipment,29,0.0002,
662,2.2.1.1.3,labor,10,0.0016,
663,2.2.1.1.3,labor,14,0.0016,
664,2.2.1.1.3,labor,12,0.00016,
665,2.2.1.1.3,labor,13,0.00016,
666,2.2.1.1.3,material,97,1.02,
667,2.2.1.1.3,material,98,0.028,
668,2.2.1.1.3a,labor,10,0.0016,
669,2.2.1.1.3a,labor,14,0.0016,
670,2.2.1.1.3a,labor,12,0.00016,
671,2.2.1.1.3a,labor,13,0.00016,
672,2.2.1.1.3a,material,99,1.02,
673,2.2.1.1.3a,material,98,0.028,
674,2.2.1.1.4,labor,10,0.0016,
675,2.2.1.1.4,labor,14,0.0016,
676,2.2.1.1.4,labor,12,0.00016,
677,2.2.1.1.4,labor,13,0.00016,
678,2.2.1.1.4,material,100,1.02,
679,2.2.1.1.4,material,98,0.028,
